,fulfilment,shipment_service_level,category,size,amount,shipping_state,rejected,region
5570,1,1,7,8,517.0,20,0,5
5571,1,1,6,6,744.0,28,0,5
5572,1,1,4,5,597.0,19,0,0
5577,1,1,7,8,458.0,15,0,4
5580,0,0,7,10,376.0,35,1,1
5581,1,1,4,5,636.0,8,0,0
5583,1,1,4,0,722.86,20,1,5
5584,1,1,4,10,599.0,15,0,4
5585,1,1,4,6,625.71,20,1,5
5587,0,0,4,5,666.0,15,1,4
5588,1,1,7,10,399.0,30,0,4
5591,1,1,4,6,1092.0,20,0,5
5595,1,1,4,5,600.95,8,1,0
5596,1,1,6,8,885.0,15,0,4
5598,1,1,7,9,0.0,33,1,3
5599,1,1,7,6,463.81,1,1,4
5603,1,1,5,6,929.0,8,0,0
5605,1,1,4,10,597.0,19,0,0
5606,1,1,7,5,517.0,15,0,4
5610,1,1,5,9,540.95,4,1,1
5616,1,1,7,7,399.0,16,0,4
5617,1,1,4,7,967.0,20,0,5
5618,1,1,7,7,597.0,16,0,4
5619,1,1,0,4,339.0,3,0,2
5620,1,1,7,10,368.0,30,0,4
5621,1,1,6,0,744.0,16,0,4
5623,1,1,4,6,0.0,32,1,2
5625,1,1,4,10,680.0,8,0,0
5626,1,1,7,8,487.0,16,0,4
5627,1,1,4,8,499.0,16,0,4
5628,1,1,7,8,399.0,16,0,4
5629,1,1,7,8,458.0,16,0,4
5632,1,1,7,8,363.0,20,0,5
5635,0,0,7,8,435.0,8,1,0
5636,0,0,7,8,429.0,8,1,0
5637,1,1,4,8,570.48,28,1,5
5639,1,1,7,8,499.0,27,0,3
5640,1,1,7,6,399.0,30,0,4
5641,1,1,4,6,0.0,32,1,2
5643,0,0,4,9,474.0,28,1,5
5644,1,1,7,6,499.0,30,0,4
5646,1,1,7,0,368.0,10,0,5
5648,0,0,4,10,0.0,20,1,5
5653,1,1,7,10,357.0,16,1,4
5654,1,1,5,9,540.95,4,1,1
5655,0,0,7,8,0.0,11,1,3
5662,1,1,6,7,842.86,8,1,0
5664,1,1,4,6,582.0,15,0,4
5667,1,1,7,9,568.0,35,0,1
5673,1,1,6,10,625.0,16,0,4
5674,1,1,5,10,540.0,16,0,4
5676,1,1,4,10,478.0,20,0,5
5677,1,1,4,6,654.0,33,0,3
5679,1,1,4,6,722.86,33,1,3
5681,1,1,4,5,939.0,27,0,3
5683,1,1,7,5,597.0,27,1,3
5684,1,1,4,5,654.0,35,0,1
5685,1,1,7,0,0.0,12,1,3
5687,1,1,7,7,487.0,28,0,5
5688,1,1,7,10,517.0,15,0,4
5689,1,1,7,8,517.0,12,0,3
5690,1,1,7,0,517.0,12,0,3
5693,1,1,7,6,399.0,30,0,4
5694,1,1,4,10,654.0,20,0,5
5699,1,1,4,5,575.0,20,0,5
5702,1,1,4,0,662.0,33,0,3
5704,1,1,4,9,666.0,15,0,4
5710,0,0,7,8,0.0,27,1,3
5712,1,1,7,0,376.0,15,0,4
5715,1,1,7,5,487.0,30,0,4
5716,1,1,4,5,536.19,11,1,3
5717,1,1,7,7,487.0,30,0,4
5718,1,1,7,5,399.0,20,0,5
5720,1,1,7,9,540.95,35,1,1
5721,1,1,7,8,353.0,16,0,4
5722,1,1,7,8,363.0,16,0,4
5724,1,1,6,9,744.0,31,0,4
5730,1,1,4,8,599.0,19,0,0
5731,1,1,4,9,612.0,20,0,5
5732,1,1,4,9,597.0,15,0,4
5733,1,1,4,9,597.0,15,0,4
5734,1,1,7,6,259.0,19,0,0
5741,1,1,7,8,295.0,15,0,4
5743,1,1,7,8,399.0,20,0,5
5744,1,1,7,6,475.24,20,1,5
5746,1,1,7,5,499.0,33,0,3
5747,1,1,5,8,540.0,10,0,5
5750,1,1,7,0,517.0,15,0,4
5752,1,1,4,7,967.0,13,1,3
5754,1,1,4,5,835.0,15,0,4
5757,1,1,5,8,518.0,31,0,4
5758,1,1,7,8,342.0,15,0,4
5759,1,1,7,8,329.0,15,0,4
5761,1,1,7,8,342.0,31,0,4
5762,1,1,7,5,363.0,15,0,4
5763,1,1,7,5,459.0,30,0,4
5765,1,1,7,8,399.0,30,0,4
5766,1,1,6,9,708.57,31,1,4
5767,1,1,4,0,613.0,11,0,3
5768,1,1,7,6,549.0,4,1,1
5771,1,1,4,6,888.0,34,0,3
5774,0,0,7,10,432.0,30,1,4
5775,1,1,7,7,696.0,25,0,1
5777,1,1,5,5,391.0,20,0,5
5778,1,1,4,7,605.71,31,1,4
5779,1,1,4,7,680.95,31,1,4
5782,0,0,7,7,487.0,1,1,4
5783,0,0,7,6,353.0,15,1,4
5788,1,1,5,6,518.0,6,0,1
5789,1,1,6,8,744.0,20,0,5
5791,1,1,4,10,622.86,25,1,1
5792,0,0,4,7,771.0,33,1,3
5794,1,1,0,7,460.0,31,0,4
5795,1,1,4,10,684.0,31,1,4
5796,1,1,6,5,791.0,20,0,5
5798,1,1,7,8,508.57,35,1,1
5800,1,1,4,0,635.0,33,0,3
5801,1,1,4,5,1126.0,8,0,0
5803,1,1,5,5,423.0,4,0,1
5805,1,1,7,8,459.0,20,0,5
5809,1,1,6,7,744.0,30,0,4
5819,1,1,5,8,309.0,16,0,4
5821,1,1,7,10,442.0,30,0,4
5825,1,1,7,10,419.0,30,1,4
5827,1,1,7,6,259.0,35,0,1
5828,0,0,4,7,1112.0,33,1,3
5829,1,1,7,0,492.38,20,1,5
5831,0,0,7,8,0.0,1,1,4
5840,0,0,7,10,0.0,30,1,4
5841,1,1,4,6,886.0,8,0,0
5842,1,1,7,6,499.0,19,0,0
5843,0,0,7,5,487.0,20,1,5
5847,1,1,7,8,353.0,1,0,4
5848,1,1,4,6,631.0,30,0,4
5849,1,1,4,10,1115.0,35,0,1
5854,1,1,4,5,835.0,16,0,4
5855,1,1,7,6,459.0,30,0,4
5859,0,0,4,6,1065.0,8,1,0
5863,1,1,4,8,545.0,35,0,1
5864,1,1,4,8,499.0,35,0,1
5867,1,1,4,10,635.0,16,0,4
5869,1,1,6,7,721.0,30,0,4
5871,1,1,5,6,563.0,10,0,5
5872,1,1,4,8,626.0,1,0,4
5874,1,1,5,0,540.0,20,1,5
5877,1,1,4,8,519.05,35,1,1
5878,0,0,4,8,499.0,35,1,1
5879,1,1,6,7,0.0,30,1,4
5883,1,1,7,0,295.0,19,1,0
5886,0,0,7,8,533.0,20,1,5
5889,1,1,7,0,380.0,8,1,0
5890,1,1,7,0,350.48,8,1,0
5893,1,1,7,5,376.0,31,0,4
5894,1,1,7,5,399.0,31,0,4
5895,1,1,7,5,459.0,31,0,4
5896,1,1,7,5,363.0,31,0,4
5897,1,1,4,5,626.0,31,0,4
5898,1,1,7,5,295.0,31,0,4
5899,1,1,7,5,342.0,31,0,4
5900,1,1,7,5,316.0,31,0,4
5902,1,1,4,6,597.0,31,0,4
5904,1,1,7,7,448.57,31,1,4
5907,1,1,7,10,329.0,20,0,5
5908,1,1,4,6,631.0,8,0,0
5909,1,1,6,8,885.0,10,0,5
5913,1,1,7,10,376.0,1,0,4
5914,1,1,7,8,295.0,30,0,4
5917,1,1,5,5,536.19,15,1,4
5919,1,1,6,0,744.0,30,0,4
5922,1,1,4,5,824.0,10,0,5
5923,0,0,7,9,0.0,20,1,5
5924,1,1,7,5,376.0,35,0,1
5926,0,0,4,6,1112.0,15,1,4
5927,0,0,4,6,788.0,15,1,4
5928,1,1,7,9,280.95,33,1,3
5933,1,1,7,6,399.0,8,0,0
5934,1,1,7,6,329.0,19,1,0
5935,1,1,7,6,329.0,19,1,0
5937,1,1,4,10,999.0,3,0,2
5939,1,1,7,10,406.0,16,0,4
5940,1,1,7,5,380.0,33,1,3
5941,0,0,7,9,0.0,35,1,1
5943,0,0,7,6,0.0,1,1,4
5944,0,0,7,6,0.0,1,1,4
5945,0,0,7,6,0.0,1,1,4
5946,1,1,4,6,626.0,20,0,5
5949,1,1,4,5,0.0,20,1,5
5951,1,1,7,7,329.0,16,0,4
5953,1,1,7,8,342.0,1,0,4
5956,0,0,3,4,648.0,15,1,4
5957,1,1,7,7,399.0,20,0,5
5958,1,1,4,9,856.0,20,0,5
5960,1,1,4,6,737.0,11,0,3
5962,1,1,4,9,815.24,20,1,5
5970,0,0,7,7,499.0,20,1,5
5971,1,1,6,9,744.0,30,0,4
5972,0,0,7,7,635.0,23,1,2
5973,1,1,4,6,1099.0,20,0,5
5975,1,1,4,5,1126.0,33,0,3
5976,1,1,4,8,626.0,15,0,4
5977,1,1,4,8,590.0,6,0,1
5981,1,1,3,4,856.19,9,1,4
5985,1,1,5,6,329.0,20,0,5
5986,1,1,7,0,353.0,15,0,4
5987,0,0,5,7,0.0,31,1,4
5988,1,1,6,6,566.0,1,0,4
5989,1,1,7,6,522.86,31,1,4
5990,1,1,7,7,295.0,20,0,5
5992,0,0,3,4,899.0,9,1,4
5993,1,1,6,6,744.0,30,0,4
5997,1,1,7,6,771.0,31,0,4
5998,1,1,7,7,375.0,31,0,4
5999,1,1,7,7,259.0,31,0,4
6002,1,1,7,10,368.0,20,0,5
6006,1,1,4,9,597.0,20,0,5
6012,1,1,6,7,744.0,8,0,0
6013,1,1,7,9,487.0,8,0,0
6016,1,1,5,8,540.0,10,1,5
6022,1,1,4,8,599.0,9,0,4
6026,1,1,7,7,518.0,1,0,4
6027,1,1,7,6,399.0,1,0,4
6028,1,1,7,6,358.1,16,1,4
6029,1,1,4,9,597.0,20,0,5
6032,1,1,7,10,475.0,33,0,3
6033,1,1,7,0,499.0,33,0,3
6040,1,1,4,8,499.0,20,1,5
6046,1,1,7,7,429.0,8,0,0
6047,1,1,7,5,685.0,20,1,5
6048,1,1,4,7,597.0,20,1,5
6049,1,1,4,5,1126.0,20,0,5
6051,1,1,6,6,0.0,35,0,1
6052,1,1,5,6,329.0,15,0,4
6055,1,1,6,0,744.0,1,0,4
6059,1,1,6,7,899.0,33,1,3
6065,1,1,4,5,0.0,20,1,5
6068,1,1,4,5,548.0,11,0,3
6069,1,1,7,8,399.0,20,0,5
6071,1,1,7,10,399.0,8,0,0
6072,1,1,7,7,437.14,34,1,3
6075,0,0,7,9,0.0,27,1,3
6076,0,0,7,8,487.0,15,1,4
6077,1,1,7,6,399.0,15,0,4
6078,1,1,6,6,690.0,30,0,4
6079,1,1,4,7,1115.0,28,0,5
6082,1,1,4,6,597.0,15,0,4
6084,1,1,4,9,999.0,14,0,1
6085,1,1,7,6,495.0,16,0,4
6086,1,1,4,9,788.0,20,0,5
6093,1,1,6,8,807.0,30,0,4
6094,1,1,7,6,376.0,16,0,4
6096,1,1,7,6,376.0,31,0,4
6098,0,0,5,0,518.0,31,1,4
6100,1,1,7,6,295.0,15,0,4
6103,0,0,4,6,666.0,20,1,5
6104,1,1,7,7,259.0,15,0,4
6105,1,1,7,10,432.0,1,0,4
6106,1,1,7,10,486.0,1,0,4
6108,1,1,7,0,329.0,20,0,5
6110,1,1,4,9,852.0,8,1,0
6111,1,1,4,6,563.0,33,0,3
6114,1,1,4,7,654.0,12,0,3
6116,0,0,7,6,280.0,13,1,3
6117,1,1,4,10,654.0,20,0,5
6119,1,1,4,8,599.0,20,0,5
6121,1,1,6,5,791.0,30,0,4
6122,1,1,4,5,474.0,30,0,4
6125,1,1,7,5,0.0,34,0,3
6131,1,1,7,8,249.0,1,0,4
6132,1,1,7,8,432.0,1,0,4
6133,1,1,7,8,362.0,1,0,4
6134,1,1,2,6,999.0,25,1,1
6135,1,1,4,10,1099.0,14,0,1
6136,1,1,4,7,835.0,3,0,2
6137,1,1,4,0,995.0,20,1,5
6139,1,1,7,10,517.0,16,0,4
6142,1,1,7,10,521.0,10,0,5
6145,1,1,7,6,399.0,30,0,4
6148,1,1,7,0,736.0,15,0,4
6150,1,1,7,10,435.0,30,0,4
6159,1,1,4,9,634.29,19,1,0
6160,0,0,4,7,696.0,16,1,4
6162,1,1,6,6,744.0,30,0,4
6163,1,1,4,0,680.0,10,0,5
6164,0,0,5,6,0.0,33,1,3
6165,1,1,4,6,0.0,4,1,1
6166,1,1,4,9,597.0,30,0,4
6171,1,1,4,10,922.0,19,0,0
6174,1,1,6,6,721.0,33,0,3
6176,1,1,7,0,420.0,15,0,4
6178,1,1,4,9,788.0,33,0,3
6180,1,1,7,10,399.0,27,0,3
6183,1,1,1,0,342.86,20,1,5
6184,1,1,4,5,549.0,20,0,5
6186,1,1,7,10,424.0,30,0,4
6187,0,0,6,9,0.0,1,1,4
6188,0,0,7,8,0.0,30,1,4
6189,0,0,7,8,0.0,30,1,4
6190,1,1,4,9,591.0,3,0,2
6192,1,1,4,8,852.0,15,0,4
6194,1,1,7,5,549.0,20,0,5
6196,1,1,4,0,999.0,15,0,4
6199,0,0,7,7,0.0,15,1,4
6200,1,1,4,7,536.19,15,1,4
6201,1,1,4,6,582.0,1,0,4
6203,1,1,4,10,653.0,20,0,5
6204,1,1,7,7,0.0,15,0,4
6209,0,0,6,5,0.0,28,1,5
6213,1,1,4,9,750.48,20,1,5
6214,0,0,4,9,653.0,6,1,1
6218,0,0,7,0,0.0,8,1,0
6219,1,1,4,10,692.0,14,0,1
6220,0,0,6,8,0.0,15,1,4
6223,0,0,4,5,0.0,20,1,5
6226,1,1,4,7,568.57,30,1,4
6230,1,1,7,6,399.0,16,0,4
6235,1,1,7,0,376.0,20,0,5
6238,1,1,7,7,295.0,15,0,4
6241,1,1,4,5,635.0,30,0,4
6247,1,1,7,8,685.0,35,0,1
6248,1,1,5,8,540.0,35,0,1
6251,1,1,7,8,283.0,20,0,5
6252,1,1,7,5,517.0,33,0,3
6253,1,1,7,8,362.0,16,0,4
6254,1,1,7,9,587.0,30,0,4
6255,1,1,4,9,666.0,30,0,4
6258,1,1,4,6,654.0,20,0,5
6262,1,1,7,5,363.0,15,0,4
6264,0,0,7,8,0.0,35,1,1
6266,1,1,4,5,596.19,20,1,5
6267,1,1,7,8,280.0,30,0,4
6269,1,1,4,10,725.0,27,0,3
6273,1,1,4,7,1099.0,20,0,5
6275,1,1,7,5,0.0,20,0,5
6277,1,1,4,0,563.0,31,1,4
6278,1,1,4,9,582.0,31,0,4
6279,1,1,4,9,801.0,16,0,4
6280,1,1,6,6,690.0,30,1,4
6281,1,1,6,10,658.0,20,0,5
6283,1,1,4,6,1126.0,33,0,3
6285,1,1,4,5,597.0,15,0,4
6287,1,1,7,8,517.0,20,0,5
6293,1,1,7,8,459.0,30,0,4
6296,0,0,7,8,0.0,35,1,1
6297,1,1,6,6,690.0,11,0,3
6299,1,1,4,6,582.86,31,1,4
6302,1,1,4,6,568.57,15,1,4
6308,0,0,4,9,0.0,33,1,3
6309,1,1,4,8,0.0,20,1,5
6310,0,0,4,5,0.0,12,1,3
6311,1,1,7,0,376.0,8,0,0
6312,1,1,6,5,744.0,15,0,4
6313,1,1,7,6,459.0,20,0,5
6314,0,0,4,5,597.0,16,1,4
6322,0,0,4,8,0.0,4,1,1
6323,1,1,4,6,1099.0,27,0,3
6325,1,1,4,6,886.0,12,0,3
6329,0,0,4,8,0.0,12,1,3
6332,1,1,7,8,318.0,30,0,4
6336,1,1,5,0,434.0,35,0,1
6337,1,1,7,6,568.0,35,0,1
6340,1,1,4,7,969.0,16,0,4
6342,1,1,5,6,440.95,8,1,0
6343,1,1,4,10,680.0,35,0,1
6344,1,1,4,8,599.0,20,0,5
6347,1,1,5,7,434.0,20,0,5
6348,1,1,4,6,680.0,31,0,4
6352,1,1,4,6,1126.0,25,0,1
6355,1,1,6,6,744.0,28,0,5
6356,0,0,7,6,499.0,28,1,5
6360,1,1,4,7,560.0,16,0,4
6361,1,1,4,0,751.0,35,0,1
6362,1,1,4,7,605.71,1,1,4
6363,1,1,7,8,376.0,30,0,4
6364,0,0,4,5,0.0,1,1,4
6366,1,1,7,8,459.0,20,0,5
6367,1,1,4,8,629.0,16,1,4
6371,1,1,5,6,574.0,20,0,5
6372,1,1,7,7,429.0,20,0,5
6373,1,1,4,9,750.48,20,1,5
6378,1,1,6,6,690.0,33,0,3
6379,1,1,7,5,0.0,3,1,2
6381,1,1,4,9,951.43,16,1,4
6382,1,1,4,8,599.05,16,1,4
6384,1,1,5,8,309.0,15,0,4
6385,1,1,7,10,486.0,30,0,4
6388,1,1,7,10,474.0,19,0,0
6389,1,1,6,7,744.0,15,0,4
6390,1,1,7,8,517.0,15,0,4
6393,1,1,7,6,458.0,8,0,0
6394,0,0,7,6,0.0,11,1,3
6395,1,1,7,0,579.0,33,0,3
6396,1,1,4,6,833.0,16,0,4
6398,1,1,7,10,0.0,19,1,0
6399,1,1,4,6,680.0,10,0,5
6401,1,1,7,0,487.0,20,0,5
6402,1,1,7,0,487.0,20,0,5
6406,0,0,7,8,0.0,16,1,4
6408,1,1,4,6,833.0,20,0,5
6410,1,1,6,5,744.0,30,0,4
6412,1,1,4,5,568.57,15,1,4
6414,0,0,6,5,721.0,25,1,1
6416,0,0,7,6,0.0,11,1,3
6417,1,1,6,5,744.0,30,0,4
6421,1,1,4,9,631.0,16,0,4
6424,1,1,6,5,721.0,15,0,4
6425,1,1,7,5,459.0,16,1,4
6428,1,1,4,6,0.0,8,0,0
6429,1,1,6,5,0.0,30,1,4
6431,1,1,7,10,399.0,28,0,5
6432,1,1,7,8,271.0,28,0,5
6434,1,1,7,6,446.0,4,0,1
6435,1,1,1,10,518.0,9,0,4
6439,1,1,7,6,475.0,20,0,5
6440,1,1,7,6,475.0,20,0,5
6441,1,1,4,7,725.0,10,0,5
6444,0,0,4,5,0.0,16,1,4
6447,1,1,4,6,647.62,31,1,4
6449,1,1,4,10,0.0,20,0,5
6451,1,1,4,8,554.29,33,1,3
6454,1,1,7,0,442.0,1,0,4
6455,1,1,7,10,752.0,20,0,5
6456,1,1,4,9,635.0,20,0,5
6457,1,1,7,9,459.0,20,0,5
6459,1,1,4,0,474.0,20,0,5
6462,1,1,4,8,699.0,33,0,3
6464,1,1,7,6,380.0,8,1,0
6466,1,1,4,5,666.0,20,0,5
6469,1,1,7,5,549.0,15,0,4
6472,1,1,6,10,807.0,35,0,1
6473,1,1,6,10,899.0,35,0,1
6474,1,1,6,10,625.0,35,0,1
6475,1,1,6,10,859.0,35,0,1
6476,1,1,6,10,496.0,35,0,1
6478,1,1,4,0,717.0,33,0,3
6479,1,1,4,9,568.57,15,1,4
6480,1,1,6,7,708.57,30,1,4
6481,1,1,4,5,1099.0,33,0,3
6482,1,1,4,7,992.86,1,1,4
6483,1,1,7,6,376.0,15,0,4
6485,1,1,4,8,631.0,33,0,3
6486,1,1,7,0,368.0,3,0,2
6493,1,1,5,7,463.0,8,0,0
6494,1,1,7,8,487.0,0,0,1
6495,1,1,7,10,459.0,16,0,4
6496,1,1,4,5,824.0,20,0,5
6497,1,1,4,0,845.71,6,1,1
6498,1,1,7,5,517.0,33,1,3
6501,1,1,4,9,597.0,9,0,4
6502,1,1,7,0,449.0,28,0,5
6503,1,1,6,5,0.0,34,1,3
6506,1,1,7,7,389.0,31,0,4
6507,1,1,6,8,744.0,33,0,3
6508,1,1,7,8,458.0,35,0,1
6516,1,1,4,8,680.0,27,0,3
6522,0,0,4,7,759.0,35,1,1
6523,1,1,4,0,759.0,20,0,5
6524,1,1,6,9,690.0,31,0,4
6525,1,1,6,9,721.0,31,0,4
6526,1,1,7,6,399.0,20,0,5
6527,1,1,4,5,824.0,33,0,3
6530,1,1,5,10,514.29,31,1,4
6531,1,1,2,0,721.0,10,0,5
6532,1,1,7,8,399.0,35,0,1
6534,1,1,4,6,612.0,11,0,3
6535,1,1,1,6,518.0,28,0,5
6537,1,1,7,7,459.0,33,0,3
6538,1,1,7,8,399.0,34,0,3
6539,1,1,7,8,399.0,34,0,3
6540,1,1,6,8,744.0,16,0,4
6542,1,1,7,5,380.0,9,1,4
6544,1,1,4,10,939.0,15,0,4
6545,1,1,7,10,459.0,15,0,4
6549,1,1,7,6,399.0,22,0,2
6552,1,1,4,7,969.0,10,0,5
6553,1,1,2,0,686.66,10,1,5
6556,1,1,7,7,246.67,30,1,4
6563,1,1,7,8,463.81,15,1,4
6564,1,1,7,5,266.67,15,1,4
6565,1,1,7,8,325.71,15,1,4
6568,1,1,4,0,680.0,31,0,4
6570,1,1,4,9,657.0,34,0,3
6574,1,1,7,5,362.0,1,0,4
6576,1,1,7,6,950.0,1,0,4
6577,1,1,4,10,909.0,1,0,4
6579,1,1,7,9,381.0,16,0,4
6581,1,1,1,10,270.48,15,1,4
6584,1,1,7,10,316.0,20,0,5
6590,1,1,7,10,549.0,11,0,3
6592,1,1,7,6,295.0,15,0,4
6593,1,1,7,6,295.0,15,0,4
6594,1,1,7,6,342.0,15,0,4
6595,1,1,7,6,363.0,15,0,4
6596,1,1,4,6,582.86,1,1,4
6597,1,1,4,5,560.0,11,0,3
6600,1,1,4,6,759.0,10,0,5
6605,1,1,7,10,492.38,30,1,4
6609,1,1,6,8,768.57,31,1,4
6613,1,1,5,6,387.0,8,0,0
6615,1,1,7,10,299.0,26,0,4
6616,0,0,4,7,0.0,11,1,3
6617,1,1,4,10,654.0,16,0,4
6622,1,1,7,6,499.0,9,0,4
6625,1,1,7,7,246.67,15,1,4
6626,1,1,7,10,0.0,11,0,3
6628,1,1,7,8,291.0,10,0,5
6629,1,1,7,10,249.0,10,0,5
6634,0,0,7,5,0.0,35,1,1
6636,1,1,6,8,744.0,25,0,1
6642,1,1,4,5,0.0,14,0,1
6645,1,1,4,0,759.0,33,0,3
6647,1,1,7,0,459.0,11,1,3
6648,1,1,4,6,1033.0,30,0,4
6649,1,1,6,5,665.0,15,0,4
6650,1,1,7,6,459.0,15,0,4
6651,1,1,4,8,662.86,11,1,3
6653,1,1,7,8,568.0,1,0,4
6658,1,1,7,6,475.0,35,1,1
6660,1,1,7,8,437.14,25,1,1
6661,1,1,7,5,487.0,11,0,3
6662,1,1,7,8,437.14,25,1,1
6663,1,1,4,0,788.0,11,0,3
6665,1,1,4,8,647.62,8,1,0
6667,1,1,7,6,544.0,31,1,4
6672,1,1,4,0,968.0,19,0,0
6673,1,1,7,8,432.0,16,0,4
6676,1,1,6,5,744.0,15,0,4
6677,1,1,7,7,357.0,8,0,0
6678,1,1,5,9,599.0,20,0,5
6679,1,1,4,9,653.0,34,0,3
6680,1,1,7,6,344.76,21,1,2
6682,1,1,7,10,299.0,30,1,4
6683,1,1,7,8,475.24,20,1,5
6689,0,0,4,9,801.0,16,1,4
6690,1,1,7,6,380.0,30,1,4
6693,1,1,7,6,399.0,25,0,1
6695,1,1,7,0,399.0,9,0,4
6696,1,1,7,0,368.0,9,0,4
6697,1,1,7,5,458.0,15,0,4
6699,1,1,4,0,751.0,20,0,5
6700,1,1,4,6,548.0,20,0,5
6702,1,1,7,10,0.0,5,0,3
6705,1,1,4,10,684.0,33,0,3
6707,1,1,4,5,597.0,20,1,5
6708,1,1,7,8,685.0,20,0,5
6712,1,1,4,6,654.0,11,0,3
6713,1,1,7,7,353.0,20,0,5
6719,1,1,4,8,599.0,6,0,1
6724,1,1,7,6,517.0,4,1,1
6731,1,1,0,10,665.0,15,0,4
6733,1,1,7,6,0.0,30,1,4
6737,1,1,7,8,368.0,31,0,4
6738,1,1,7,8,291.0,31,0,4
6739,1,1,4,8,599.0,31,0,4
6741,1,1,7,6,487.0,8,0,0
6744,0,0,1,10,0.0,15,1,4
6745,1,1,7,8,399.0,16,1,4
6748,1,1,4,0,788.0,15,0,4
6750,1,1,7,10,376.0,30,0,4
6753,0,0,7,8,0.0,31,1,4
6754,1,1,7,10,424.0,34,0,3
6756,1,1,7,7,295.0,30,0,4
6757,1,1,4,0,788.0,33,0,3
6760,1,1,4,6,759.0,11,0,3
6762,1,1,7,5,499.0,28,0,5
6764,1,1,4,8,824.0,31,1,4
6765,0,0,4,5,0.0,28,1,5
6766,1,1,4,6,0.0,20,1,5
6768,1,1,7,7,0.0,16,1,4
6769,1,1,7,8,635.0,20,0,5
6770,0,0,2,0,0.0,20,1,5
6773,1,1,4,6,612.0,35,0,1
6777,1,1,7,5,0.0,28,1,5
6778,0,0,5,9,0.0,6,1,1
6779,1,1,6,5,899.0,28,0,5
6782,0,0,4,7,0.0,31,1,4
6785,1,1,7,6,435.0,16,0,4
6788,1,1,5,9,563.0,35,0,1
6789,1,1,4,7,968.0,13,0,3
6793,0,0,1,10,0.0,15,1,4
6794,1,1,4,10,922.0,1,0,4
6795,1,1,4,9,666.0,20,0,5
6796,1,1,4,9,657.0,20,0,5
6798,1,1,7,8,474.0,8,0,0
6800,1,1,4,7,654.0,33,0,3
6801,1,1,7,0,442.0,25,0,1
6802,0,0,1,10,0.0,15,1,4
6803,1,1,4,6,622.86,33,1,3
6804,1,1,7,10,0.0,35,0,1
6808,1,1,6,8,690.0,35,0,1
6809,1,1,5,9,399.0,20,0,5
6812,1,1,7,5,329.0,33,0,3
6813,1,1,7,10,0.0,33,0,3
6815,1,1,4,7,0.0,20,1,5
6816,1,1,5,0,329.0,15,0,4
6817,0,0,7,10,375.0,31,1,4
6818,1,1,4,7,597.0,20,0,5
6823,0,0,7,9,0.0,20,1,5
6824,1,1,4,6,759.0,35,0,1
6827,1,1,2,6,999.0,33,0,3
6828,1,1,4,10,654.0,1,0,4
6830,1,1,7,9,437.14,31,1,4
6831,1,1,7,8,362.0,30,0,4
6832,0,0,1,10,0.0,15,1,4
6834,1,1,7,0,652.38,8,1,0
6835,1,1,6,10,625.0,12,1,3
6837,1,1,7,8,492.38,33,1,3
6841,1,1,7,8,300.95,30,1,4
6842,0,0,7,8,345.0,30,1,4
6845,1,1,4,6,759.0,31,1,4
6849,1,1,0,6,595.24,15,1,4
6850,1,1,7,6,534.0,20,0,5
6852,1,1,4,8,699.0,16,0,4
6855,1,1,4,9,568.57,20,1,5
6859,1,1,4,10,612.0,25,0,1
6860,1,1,4,10,0.0,25,1,1
6863,1,1,7,6,300.95,30,1,4
6864,0,0,4,7,0.0,16,1,4
6868,1,1,7,7,459.0,34,0,3
6872,0,0,4,7,0.0,8,1,0
6873,0,0,4,7,0.0,8,1,0
6875,0,0,4,7,0.0,11,1,3
6876,1,1,4,6,654.0,4,1,1
6879,1,1,0,8,665.0,8,0,0
6880,1,1,0,5,665.0,8,0,0
6881,1,1,6,7,453.0,23,1,2
6882,1,1,4,5,1099.0,12,0,3
6889,0,0,7,8,376.0,31,1,4
6893,1,1,7,8,568.0,20,0,5
6898,1,1,7,5,295.0,20,0,5
6899,1,1,7,5,459.0,20,0,5
6900,1,1,4,8,1058.93,14,1,1
6902,1,1,7,8,399.0,30,0,4
6903,1,1,4,10,597.0,28,0,5
6904,1,1,2,7,699.0,33,0,3
6905,1,1,7,6,549.0,20,0,5
6907,1,1,4,9,597.0,28,0,5
6917,1,1,4,9,799.0,15,0,4
6918,0,0,4,5,1133.0,20,1,5
6923,1,1,7,8,462.0,33,0,3
6924,1,1,7,5,280.0,30,0,4
6925,1,1,7,5,363.0,30,0,4
6928,1,1,4,0,635.0,31,0,4
6930,1,1,2,0,799.0,15,0,4
6931,0,0,4,5,1133.0,20,1,5
6932,1,1,7,5,459.0,20,0,5
6934,1,1,4,5,622.86,35,1,1
6935,0,0,4,5,1133.0,20,1,5
6938,1,1,7,8,517.0,16,0,4
6939,1,1,7,6,380.0,15,1,4
6940,1,1,7,5,437.14,20,1,5
6943,1,1,4,7,654.0,33,0,3
6944,1,1,4,8,631.0,19,0,0
6950,1,1,7,0,376.0,15,0,4
6951,1,1,4,6,856.0,15,0,4
6952,1,1,4,0,916.0,34,0,3
6953,1,1,7,10,517.0,35,0,1
6955,1,1,7,10,399.0,20,0,5
6956,1,1,4,5,597.0,33,0,3
6961,1,1,7,6,459.0,35,0,1
6962,1,1,7,8,459.0,8,0,0
6964,1,1,5,10,574.0,20,0,5
6967,1,1,4,5,0.0,16,1,4
6974,1,1,7,5,458.0,20,0,5
6975,1,1,7,5,597.0,30,0,4
